hur_id,name,positions,wind_peak
AL011851,UNNAMED,14,41.2
AL021851,UNNAMED,1,41.2
AL031851,UNNAMED,1,25.7
AL041851,UNNAMED,49,51.4
AL051851,UNNAMED,16,25.7
AL061851,UNNAMED,17,30.9
AL011852,UNNAMED,45,51.4
AL021852,UNNAMED,8,36.0
AL031852,UNNAMED,20,36.0
AL041852,UNNAMED,36,41.2
AL051852,UNNAMED,25,46.3
AL011853,UNNAMED,1,25.7
AL021853,UNNAMED,1,20.6
AL031853,UNNAMED,48,66.9
AL041853,UNNAMED,12,51.4
AL051853,UNNAMED,1,25.7
AL061853,UNNAMED,22,36.0
AL071853,UNNAMED,1,25.7
AL081853,UNNAMED,14,46.3
AL011854,UNNAMED,11,36.0
AL021854,UNNAMED,1,30.9
AL031854,UNNAMED,25,56.6
AL041854,UNNAMED,11,46.3
AL051854,UNNAMED,12,30.9
AL011855,UNNAMED,1,46.3
AL021855,UNNAMED,6,46.3
AL031855,UNNAMED,1,36.0
AL041855,UNNAMED,16,30.9
AL051855,UNNAMED,11,56.6
AL011856,UNNAMED,14,66.9
AL021856,UNNAMED,8,36.0
AL031856,UNNAMED,12,25.7
AL041856,UNNAMED,1,25.7
AL051856,UNNAMED,40,51.4
AL061856,UNNAMED,20,36.0
AL011857,UNNAMED,8,25.7
AL021857,UNNAMED,47,46.3
AL031857,UNNAMED,20,36.0
AL041857,UNNAMED,29,46.3
AL011858,UNNAMED,1,36.0
AL021858,UNNAMED,1,36.0
AL031858,UNNAMED,16,46.3
AL041858,UNNAMED,32,41.2
AL051858,UNNAMED,14,41.2
AL061858,UNNAMED,22,46.3
AL011859,UNNAMED,1,46.3
AL021859,UNNAMED,12,46.3
AL031859,UNNAMED,6,36.0
AL041859,UNNAMED,7,46.3
AL051859,UNNAMED,16,36.0
AL061859,UNNAMED,20,56.6
AL071859,UNNAMED,11,30.9
AL081859,UNNAMED,24,41.2
AL011860,UNNAMED,35,56.6
AL021860,UNNAMED,12,46.3
AL041860,UNNAMED,23,46.3
AL031860,UNNAMED,1,36.0
AL051860,UNNAMED,16,30.9
AL061860,UNNAMED,17,46.3
AL071860,UNNAMED,18,46.3
AL011861,UNNAMED,28,46.3
AL021861,UNNAMED,18,41.2
AL031861,UNNAMED,24,46.3
AL041861,UNNAMED,1,36.0
AL051861,UNNAMED,7,36.0
AL061861,UNNAMED,16,30.9
AL071861,UNNAMED,1,25.7
AL081861,UNNAMED,15,36.0
AL011862,UNNAMED,12,25.7
AL021862,UNNAMED,13,46.3
AL031862,UNNAMED,34,46.3
AL041862,UNNAMED,1,25.7
AL051862,UNNAMED,14,36.0
AL061862,UNNAMED,14,30.9
AL011863,UNNAMED,8,46.3
AL021863,UNNAMED,8,46.3
AL031863,UNNAMED,18,46.3
AL041863,UNNAMED,8,46.3
AL051863,UNNAMED,32,36.0
AL061863,UNNAMED,15,30.9
AL071863,UNNAMED,6,25.7
AL081863,UNNAMED,4,25.7
AL091863,UNNAMED,12,30.9
AL011864,UNNAMED,12,36.0
AL021864,UNNAMED,1,30.9
AL031864,UNNAMED,26,36.0
AL041864,UNNAMED,16,25.7
AL051864,UNNAMED,12,36.0
AL011865,UNNAMED,1,25.7
AL021865,UNNAMED,1,25.7
AL031865,UNNAMED,20,30.9
AL041865,UNNAMED,37,46.3
AL051865,UNNAMED,1,30.9
AL061865,UNNAMED,1,36.0
AL071865,UNNAMED,34,46.3
AL011866,UNNAMED,19,46.3
AL021866,UNNAMED,22,46.3
AL031866,UNNAMED,14,36.0
AL041866,UNNAMED,1,36.0
AL051866,UNNAMED,12,46.3
AL061866,UNNAMED,48,61.7
AL071866,UNNAMED,7,30.9
AL011867,UNNAMED,11,36.0
AL021867,UNNAMED,28,46.3
AL031867,UNNAMED,1,46.3
AL041867,UNNAMED,16,36.0
AL051867,UNNAMED,1,25.7
AL061867,UNNAMED,10,46.3
AL071867,UNNAMED,34,46.3
AL081867,UNNAMED,1,20.6
AL091867,UNNAMED,17,56.6
AL011868,UNNAMED,18,46.3
AL021868,UNNAMED,29,36.0
AL031868,UNNAMED,12,46.3
AL041868,UNNAMED,12,46.3
AL011869,UNNAMED,4,46.3
AL021869,UNNAMED,9,46.3
AL031869,UNNAMED,4,36.0
AL041869,UNNAMED,8,30.9
AL051869,UNNAMED,9,36.0
AL061869,UNNAMED,12,51.4
AL071869,UNNAMED,32,46.3
AL081869,UNNAMED,1,30.9
AL091869,UNNAMED,1,25.7
AL101869,UNNAMED,10,46.3
AL011870,UNNAMED,1,36.0
AL021870,UNNAMED,24,46.3
AL031870,UNNAMED,16,30.9
AL041870,UNNAMED,20,56.6
AL051870,UNNAMED,16,41.2
AL061870,UNNAMED,40,51.4
AL071870,UNNAMED,1,36.0
AL081870,UNNAMED,6,36.0
AL091870,UNNAMED,18,46.3
AL101870,UNNAMED,1,46.3
AL111870,UNNAMED,20,36.0
AL011871,UNNAMED,21,25.7
AL021871,UNNAMED,13,25.7
AL031871,UNNAMED,41,51.4
AL041871,UNNAMED,57,51.4
AL051871,UNNAMED,16,46.3
AL061871,UNNAMED,17,36.0
AL071871,UNNAMED,33,36.0
AL081871,UNNAMED,14,36.0
AL011872,UNNAMED,22,25.7
AL021872,UNNAMED,56,46.3
AL031872,UNNAMED,48,36.0
AL041872,UNNAMED,28,36.0
AL051872,UNNAMED,28,36.0
AL011873,UNNAMED,8,20.6
AL021873,UNNAMED,64,51.4
AL031873,UNNAMED,13,36.0
AL041873,UNNAMED,13,25.7
AL051873,UNNAMED,59,51.4
AL011874,UNNAMED,15,25.7
AL021874,UNNAMED,20,36.0
AL031874,UNNAMED,42,41.2
AL041874,UNNAMED,24,25.7
AL051874,UNNAMED,16,25.7
AL061874,UNNAMED,27,41.2
AL071874,UNNAMED,20,46.3
AL011875,UNNAMED,16,36.0
AL021875,UNNAMED,40,36.0
AL031875,UNNAMED,45,51.4
AL041875,UNNAMED,18,25.7
AL051875,UNNAMED,16,46.3
AL061875,UNNAMED,20,36.0
AL011876,UNNAMED,12,41.2
AL021876,UNNAMED,33,51.4
AL031876,UNNAMED,12,25.7
AL041876,UNNAMED,26,46.3
AL051876,UNNAMED,49,51.4
AL011877,UNNAMED,18,30.9
AL021877,UNNAMED,34,36.0
AL031877,UNNAMED,28,36.0
AL041877,UNNAMED,61,51.4
AL051877,UNNAMED,24,25.7
AL061877,UNNAMED,24,25.7
AL071877,UNNAMED,19,25.7
AL081877,UNNAMED,12,25.7
AL011878,UNNAMED,13,20.6
AL021878,UNNAMED,45,36.0
AL031878,UNNAMED,12,41.2
AL041878,UNNAMED,24,46.3
