"hur_id","name","positions","wind_peak"
"AL101924","UNNAMED","9","74.6"
"AL041932","UNNAMED","25","72"
"AL031935","UNNAMED","26","82.3"
"AL061938","UNNAMED","15","72"
"AL051961","ESTHER","26","72"
"AL131967","BEULAH","10","72"
"AL091969","CAMILLE","13","77.2"
"AL051977","ANITA","15","77.2"
"AL041980","ALLEN","12","79.7"
"AL041992","ANDREW","25","77.2"
"AL132003","ISABEL","23","72"
"AL092004","IVAN","12","72"
"AL122005","KATRINA","21","77.2"
"AL182005","RITA","21","79.7"
"AL142018","MICHAEL","11","72"
"AL052019","DORIAN","39","82.3"
