hur_id,name,date_time,jd,status,latitude,longitude,wind_max
AL1935-03,UNNAMED,1935-09-01T06:00,244.25,TS,23.7,-76.6,28.3
AL1935-03,UNNAMED,1935-09-01T12:00,244.5,HU,23.7,-77.3,33.4
AL1935-03,UNNAMED,1935-09-01T18:00,244.75,HU,23.7,-77.9,38.6
AL1935-03,UNNAMED,1935-09-02T00:00,245,HU,23.7,-78.5,46.3
AL1935-03,UNNAMED,1935-09-02T06:00,245.25,HU,23.7,-79,54
AL1935-03,UNNAMED,1935-09-02T12:00,245.5,HU,23.8,-79.5,61.7
AL1935-03,UNNAMED,1935-09-02T18:00,245.75,HU,24.1,-80,69.4
AL1935-03,UNNAMED,1935-09-03T00:00,246,HU,24.6,-80.5,82.3
AL1935-03,UNNAMED,1935-09-03T02:00,246.0833333,HU,24.8,-80.8,82.3
AL1935-03,UNNAMED,1935-09-03T06:00,246.25,HU,25.1,-81.1,82.3
AL1935-03,UNNAMED,1935-09-03T12:00,246.5,HU,25.7,-81.6,74.6
AL1935-03,UNNAMED,1935-09-03T18:00,246.75,HU,26.4,-82.2,66.9
AL1935-03,UNNAMED,1935-09-04T00:00,247,HU,27.1,-82.8,59.2
AL1935-03,UNNAMED,1935-09-04T06:00,247.25,HU,27.8,-83.2,54
AL1935-03,UNNAMED,1935-09-04T12:00,247.5,HU,28.4,-83.4,48.9
AL1935-03,UNNAMED,1935-09-04T18:00,247.75,HU,29.1,-83.4,43.7
AL1935-03,UNNAMED,1935-09-04T22:00,247.9166667,HU,29.6,-83.4,43.7
AL1935-03,UNNAMED,1935-09-05T00:00,248,HU,29.9,-83.4,38.6
AL1935-03,UNNAMED,1935-09-05T06:00,248.25,HU,30.9,-83.1,33.4
AL1935-03,UNNAMED,1935-09-05T12:00,248.5,TS,32,-82.5,28.3
AL1935-03,UNNAMED,1935-09-05T18:00,248.75,TS,33.2,-81.5,25.7
AL1935-03,UNNAMED,1935-09-06T00:00,249,TS,34.6,-80,23.1
AL1935-03,UNNAMED,1935-09-06T06:00,249.25,TS,36.1,-78,25.7
AL1935-03,UNNAMED,1935-09-06T12:00,249.5,HU,37.5,-75.1,33.4
AL1935-03,UNNAMED,1935-09-06T18:00,249.75,HU,38.7,-70.9,38.6
AL1935-03,UNNAMED,1935-09-07T00:00,250,EX,39.8,-65.4,41.2
